instance,n_clients,method,ok,time_sec,order,distance,risk,recharges,frontier_size
andorra.json,25,nearest_feasible,1,0.037631,"C1,C3,C5,C7,C9,C11,C13,C15,C17,C19,C21,C23,C25,C24,C22,C20,C18,C16,C14,C12,C10,C8,C6,C4,C2",128.230403,49.205262,0,
andorra.json,25,greedy_weigthed,1,0.033657,"C1,C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C22,C24,C25,C23,C21,C19,C17,C15,C13,C11,C9,C7,C5,C3",135.977811,58.700079,0,
andorra.json,25,simulated_annealing,1,8.553025,"C1,C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C22,C24,C25,C23,C21,C19,C17,C15,C13,C11,C9,C7,C5,C3",135.977811,58.700079,0,
gotham.json,10,nearest_feasible,1,0.000669,"C1,C2,C4,C6,C5,C3,C7,C8,C10,C9",63.315667,75.414197,0,
gotham.json,10,greedy_weigthed,1,0.000554,"C2,C4,C5,C7,C10,C9,C8,C6,C1,C3",61.988722,49.955701,0,
gotham.json,10,simulated_annealing,1,0.491876,"C2,C4,C6,C8,C10,C9,C7,C5,C3,C1",49.037147,35.714454,0,
gotham.json,10,exact_bb,1,0.938679,,49.037147,35.714454,0,2
mordor.json,15,nearest_feasible,1,0.002846,"C2,C4,C6,C8,C10,C12,C14,C15,C13,C11,C9,C7,C5,C3,C1",79.783104,31.209042,0,
mordor.json,15,greedy_weigthed,1,0.002632,"C2,C4,C1,C3,C5,C7,C9,C12,C14,C15,C13,C11,C10,C8,C6",92.942217,43.582745,0,
mordor.json,15,simulated_annealing,1,1.293442,"C2,C4,C1,C3,C5,C7,C9,C12,C14,C15,C13,C11,C10,C8,C6",92.942217,43.582745,0,
valladolid.json,20,nearest_feasible,1,0.009588,"C1,C3,C5,C7,C9,C11,C13,C14,C12,C10,C8,C6,C4,C2,C16,C18,C20,C19,C17,C15",149.928943,214.536650,0,
valladolid.json,20,greedy_weigthed,1,0.008719,"C1,C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C19,C17,C15,C11,C13,C9,C7,C5,C3",111.325720,61.844351,0,
valladolid.json,20,simulated_annealing,1,2.565580,"C1,C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C19,C17,C15,C13,C11,C9,C7,C5,C3",112.269992,56.905341,0,
